PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000106889 uM,Activity at 0.0000320667 uM,Activity at 0.0000962002 uM,Activity at 0.0002886007 uM,Activity at 0.0008658020 uM,Activity at 0.00260 uM,Activity at 0.00779 uM,Activity at 0.015 uM,Activity at 0.032 uM,Activity at 0.075 uM,Activity at 0.150 uM,Activity at 0.246 uM,Activity at 0.492 uM,Activity at 0.984 uM,Activity at 1.967 uM,Activity at 3.937 uM,Activity at 7.870 uM,Activity at 15.74 uM,Activity at 31.48 uM,Activity at 62.95 uM,Activity at 125.9 uM,Activity at 191.7 uM,Activity at 383.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,22414559,4400709,C1=CC=NC(=C1)C(C2=CC=CC=N2)(C3=CC=CC=N3)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.1929,,,,,,,,,,,,-3.1196,-2.3903,-2.4255,-1.1945,-2.2934,-2.8832,-2.3946,-5.9965,-4.5469,-6.9599,-7.2488,-6.1929,QC'd by Specs
170,14744142,4343049,CC1CCC2=C(C1)SC3=NC=NC(=C23)N4C=NC5=C4C=C(C(=C5)C)C,Inconclusive,20,,,Inhibitor,794.328,92.8533,,Single point of activity,-3.1,1.4641,0.7168,-100,-7.1467,-3,0 0 0 0 0 0 0 0 0 0 0 0,-36.0388,,,,,,,,,,,,-7.5003,-7.5863,-2.6223,-8.7139,-9.0526,-10.5919,-11.5427,-8.4977,-8.5158,-6.7149,-6.6232,-36.0388,QC'd by DPISMR
171,49665404,24761089,CCN1CCN(CC1)CC(=O)NC2=CC=C(C=C2)C(=O)C.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,0.5072,,,,,,,,,,2.1792,1.5591,-1.8111,-0.7436,-1.9792,1.2701,1.5369,-0.157,0.7433,-0.8766,-2.8706,0.5072,,,QC'd by Asinex Ltd.
172,49729400,3136182,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NC2CC3CCC2C3)C4=CC(=C(C=C4)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,5.8772,,,,,,,,,,5.2439,1.1471,2.5324,0.8598,1.325,4.0606,3.1628,3.1725,3.2931,6.0297,10.5703,5.8772,,,QC'd by Asinex Ltd.
173,17504267,3154666,CC1=C(C(=O)NN1)C(C2=CN(C3=CC=CC=C32)CC4=CC=CC=C4Cl)C5=C(NNC5=O)C,Inconclusive,20,,,Inhibitor,630.957,95.6417,,Single point of activity,-3.2,1.4641,0.7369,-100,-4.3583,-3,0 0 0 0 0 0 0 0 0 0 0 0,-46.2009,,,,,,,,,,,,-7.669,-4.7147,-7.3917,-10.8267,-6.7913,-2.0347,-2.6634,-6.3176,-5.1671,-3.5024,-5.3949,-46.2009,QC'd by Asinex Ltd.
174,17411276,3456065,C1=CC=C2C(=C1)C(=NNC2=O)CC3=CC=C(O3)C4=CC=C(C=C4)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-18.4471,,,,,,,,,,-1.6041,-8.1664,-8.8606,-1.5084,-5.2976,-1.8513,-8.9065,-1.3985,-3.0576,-2.6098,-10.7775,-18.4471,,,QC'd by DPISMR
175,49732904,992586,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br,Active,42,,,Inhibitor,89.0627,99.7663,,Partial curve; high efficacy,-4.0503,3.5117,0.9658,-92.8955,6.8708,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.074,,,,,,,,,,5.2303,1.2797,5.9693,5.1863,13.8856,14.63,11.7763,4.2889,6.1947,-2.7001,-27.9643,-91.074,,,QC'd by Chem Div
176,49730016,864036,CCC1=CC=CC=C1NC(=O)COC2=CC=CC(=C2)N3C=NN=N3,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,2.7813,,,,,,,,,,,,0.2217,0.6728,3.5529,2.1795,1.9355,2.2895,3.3228,3.228,-0.2359,2.7668,-4.5991,2.7813,QC'd by Asinex Ltd.
177,4252221,608301,CCCC1=NC2=C(O1)C3=CC=CC=C3NC2=O,Inconclusive,20,,,Inhibitor,630.957,99.5,,Single point of activity,-3.2,1.8265,0.8206,-100,-0.5,-3,0 0 0 0 0 0 0 0 0 0 0 0,-33.7123,,,,,,,,,,,,0.1172,-1.5123,-3.2145,-1.1791,-1.1451,-2.8197,-3.0287,-1.7982,0.7457,-1.1149,0.3739,-33.7123,QC'd by DPISMR
178,24781197,4571362,C1C(N(N=C1C2=CC3=CC=CC=C3C=C2)C(=O)CSC4=NN=NN4C5=CC=C(C=C5)O)C6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 0,-19.9075,,,,,,,,,,-3.2151,-5.2237,7.3356,1.3639,0.4508,4.9074,2.1356,11.1917,-2.5871,-6.9312,-15.038,-19.9075,,,QC'd by Enamine
179,49644765,2181801,CCCOC1=CC=C(C=C1)C(=O)N2CCN(CC2)CC3=CC4=C(C=C3)OCO4,Inactive,0,,,Inactive,,,,,,,,,,4,,1.2278,,,,,,,,,,-0.8932,2.3004,3.5099,-0.4492,1.5422,1.0079,0.0566,7.0645,6.4518,10.0185,-0.2239,1.2278,,,QC'd by Asinex Ltd.
180,49680507,16245557,C1=CSC(=C1)CNCC(=O)NC2=C(C=CC(=C2)Cl)C#N.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,5.3949,,,,,,,,,,3.4587,3.6408,1.7279,4.1492,7.0974,10.1866,0.445,5.2747,10.5465,8.3226,-1.0892,5.3949,,,QC'd by Enamine
181,49667151,3439803,CN1C2=C(C=C3C(=C2)NC=N3)N(C1=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0 0 1 0 0 0,5.8587,,,,,,,,,,-0.7526,2.6402,1.9001,2.4927,9.6133,4.2212,8.4973,5.6551,10.7075,5.684,2.6312,5.8587,,,QC'd by Chem Div
182,17403657,5750365,C1=CC=C(C=C1)/C=C/C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=CC(=C2)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-16.1426,,,,,,,,,,,,-6.2517,-4.8312,-6.6089,-7.3001,-8.7969,-7.5232,-8.101,-7.6104,-6.4584,-8.6449,-7.9378,-16.1426,QC'd by DPISMR
183,49667379,24761173,CC(=O)NC1C2=C(C=CC(=C2)F)N(C1=O)CCN3CCOCC3.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.8478,,,,,,,,,,-0.2399,-10.6075,-7.3124,3.9289,-3.3741,-3.207,-4.6231,-5.0683,-0.832,-1.0306,-9.6011,-3.8478,,,QC'd by InterBioScreen
184,853188,6602647,COC1=CC=C(C=C1)CN2C(=NN=N2)C(C3=CC=CC=C3)N4CCN(CC4)C5CCCC5.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,2.2859,,,,,,,,,,-1.5252,-0.6869,2.2782,3.2433,5.0618,2.1804,-2.9085,0.8057,1.5172,2.0099,0.6225,2.2859,,,QC'd by DPISMR
185,22402498,4620317,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)NC3=CC=CC=C3)N4CCCCC4,Inconclusive,21,,,Inhibitor,70.745,57.6444,,Partial curve; partial efficacy,-4.1503,1.7529,0.9809,-55.1546,2.4898,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-43.299,,,,,,,,,,1.22,2.7468,6.9052,-1.672,1.6449,1.5665,3.0591,3.3243,-3.6968,-12.587,-27.9831,-43.299,,,QC'd by Enamine
186,11113895,4629,C[N+](C)(C)CC#CCN1CCCC1=O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.2223,,,,,,,,,,,,0.9828,1.9545,4.5572,5.3846,2.015,1.8153,3.3609,6.1372,1.8241,0.0067,1.6576,1.2223,QC'd by Tocris
187,24828129,4876708,CC(CC(=O)NC1=NC2=CC=CC=C2N1)N3C=CN=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,2.9681,,,,,,,,,,-1.6258,-2.0297,3.9227,-2.5019,3.5322,6.1642,-1.4182,-0.505,7.1718,3.9402,4.25,2.9681,,,QC'd by Enamine
188,17431809,1336233,CCCC(=O)NC1=CC(=CC=C1)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.7082,,,,,,,,,,,,-0.8361,3.2256,-0.5353,2.0717,0.867,1.2071,-0.5019,0.8236,0.9312,-0.8978,0.6937,-0.7082,QC'd by ChemBridge
189,17505404,54681785,CCCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=C(SC=C3)C(=O)OC)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0,-10.9677,,,,,,,,,,5.4935,-4.1398,6.5857,6.0606,2.2465,1.9891,6.7888,5.7332,2.5591,6.1573,-10.7394,-10.9677,,,QC'd by InterBioScreen
190,17517096,4440170,CC1=C(C=C(C=C1)NC(=O)C(C2=CC=CC=C2)OC(=O)C3=CC=C(C=C3)C=O)Cl,Inconclusive,21,,,Inhibitor,79.3772,42.9033,,Partial curve; partial efficacy,-4.1003,2.5334,0.9415,-35.1041,7.7992,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-29.2534,,,,,,,,,,6.4322,13.2107,7.0296,6.3539,5.9275,5.5739,9.0788,13.7386,3.6543,0.8646,-12.3493,-29.2534,,,QC'd by Enamine
191,49673743,16249150,CCOC(=O)C1CCN(CC1)CC(COCC2=CC=CC=C2)O.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.8315,,,,,,,,,,,,1.3874,-0.3456,5.0631,4.3646,5.5875,3.1285,5.8027,0.4683,3.3415,1.4983,1.1117,-0.8315,QC'd by Enamine
192,49665178,2990800,CCOC(=O)N1CCN(CC1)CC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0,18.2289,,,,,,,,,,9.184,1.1499,9.3479,0.6789,5.3221,1.0334,1.171,6.7007,6.1185,6.2045,12.1476,18.2289,,,QC'd by InterBioScreen
193,29215124,379077,C1COCCN1CCNC2=C(C(=O)C3=C(C2=O)N=CC=C3)Cl,Inconclusive,10,,,Activator,158.489,63.5134,,Partial curve; partial efficacy,-3.8,3.132,0.9628,59.4058,-4.1077,2.2,0 0 0 0 0 0 0 0 0 0 0 0,66.5239,,,,,,,,,,,,-3.0971,-4.1049,-3.7238,-2.6986,-3.7112,-2.0945,-4.4344,-9.673,-1.2117,10.0888,31.8973,66.5239,QC'd by SigmaAldrich
194,17505744,4416734,CCOP(=O)(C(C(Cl)(Cl)Cl)NC(=O)C1=CC=CC=C1C)OCC,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.2913,,,,,,,,,,,,-0.8335,-2.1904,-2.7438,-3.4218,-1.9288,-3.0783,-0.5069,-2.4626,-2.149,-3.0977,-1.2036,-1.2913,QC'd by InterBioScreen
195,49646063,3713164,CC1(CC(=O)C(C(=O)C1)C(C2C(=O)CC(CC2=O)(C)C)C3=CC=C(C=C3)OCC(=O)OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.8576,,,,,,,,,,6.0127,6.6582,3.6395,8.5849,10.9637,2.1517,10.144,8.0488,7.3438,5.9968,7.7365,-6.8576,,,QC'd by InterBioScreen
196,49680421,16248125,CC1=CC(=C(N1C2=CC=C(C=C2)OC)C)CNCCC3=CC=C(C=C3)OC.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,7.9825,,,,,,,,,,2.4089,7.1469,9.1835,2.4037,0.5748,8.4656,10.425,14.7254,8.0558,8.3781,6.5289,7.9825,,,QC'd by Enamine
197,24782122,10000306,CC1=CC2=C(C=C1C)NC3=C2C=[N+](C4=CC=CC=C43)C.[I-],Inconclusive,20,,,Inhibitor,89.0627,54.7827,,Single point of activity,-4.0503,3.99,0.8869,-45.9253,8.8574,-3,0 0 0 0 0 0 0 0 0 0 0 0,-55.0581,,,,,,,,,,8.2324,6.1656,3.0738,9.9669,6.0632,10.7652,3.7506,11.2572,12.0901,9.5243,-0.5734,-55.0581,,,QC'd by Specs
198,49668462,135580037,C1=CC(=C(C=C1[N+](=O)[O-])NC2=C(C=CC3=NON=C32)[N+](=O)[O-])O,Inconclusive,10,,,Activator,125.892,49.5037,,Partial curve; partial efficacy,-3.9,2.9523,0.9907,40.3566,-9.1471,2.2,0 0 0 0 0 0 0 0 0 0 0 0,42.0789,,,,,,,,,,,,-8.2401,-9.5937,-7.5491,-8.9889,-12.2059,-10.9576,-8.9075,-8.2551,-5.9579,5.3808,28.0434,42.0789,QC'd by Chem Div
199,49680897,16243193,COC1=CC=CC=C1CNCC(=O)NC2=CC=C(C=C2)C#N.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.2472,,,,,,,,,,,,-1.3564,1.9495,2.3036,2.4423,1.1505,1.9844,2.0166,1.9445,2.3931,-0.9363,1.6247,-1.2472,QC'd by Enamine
200,17509547,4401703,C1=CC=C(C=C1)C(=O)CC(=O)NC2=C(C=CC(=C2)C(F)(F)F)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0,-2.8432,,,,,,,,,,8.1898,3.32,5.9989,3.556,6.6509,11.3329,6.4043,10.0934,12.1383,9.3027,6.1518,-2.8432,,,QC'd by Chem Div
201,17431879,2294457,C1=CC=C(C=C1)/C=C/C(=O)NC2=NN=C(S2)SCC(=O)C3=CC4=CC=CC=C4C=C3,Inconclusive,21,,,Inhibitor,79.3772,36.8448,,Partial curve; partial efficacy,-4.1003,2.1211,0.9469,-33.8448,3,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-28.204,,,,,,,,,,0.694,4.4309,5.0399,-0.4552,5.5149,1.2991,5.9208,3.6075,-0.0689,-5.7977,-12.5994,-28.204,,,QC'd by ChemBridge
202,17401785,135510946,C1=CC=C2C(=C1)C=CC(=C2/C=N/NC3=NC4=CC=CC=C4C(=O)N3O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,1.6311,,,,,,,,,,,,3.3709,0.0823,1.274,2.6096,1.6566,1.9196,2.0191,3.1455,6.5729,6.729,5.0869,1.6311,QC'd by DPISMR
203,49645236,1093724,C1=CC=C(C=C1)C2=CC(=NO2)C(=O)NC3=C(C=CC(=C3)Br)O,Inconclusive,20,,,Inhibitor,63.0515,35.9275,,Partial curve; partial efficacy,-4.2003,2.5334,0.9625,-31.9275,4,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-28.6896,,,,,,,,,,1.5289,2.8603,6.1462,4.4932,5.9118,7.6392,2.7832,-0.3502,3.8045,-3.6798,-17.832,-28.6896,,,QC'd by Asinex Ltd.
204,26747927,9571016,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl.Cl.Cl,Active,46,,,Inhibitor,281.838,126.731,,Partial curve; high efficacy,-3.55,3.6272,0.9875,-129.786,-3.0548,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-98.7714,,,,,,,,,,,,-0.6161,-0.7239,-1.9002,-1.7278,-1.9024,-3.7275,-1.7719,-1.5588,-9.7913,-12.1524,-27.1895,-98.7714,QC'd by Microsource
205,49679707,874817,CC1=CC=C(C=C1)C2=NNC(=C2)C3=C(C=C(C=C3)OC)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.7108,,,,,,,,,,,,-10.5106,-7.0428,-7.4986,-6.5993,-5.8978,-6.7921,-6.9935,-9.3412,-9.6132,-9.1289,-6.9878,-10.7108,QC'd by Chem Div
206,17516331,2335783,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)COC(=O)C4=CC=C(O4)Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-21.6721,,,,,,,,,,5.94,10.3263,3.2534,12.9686,2.468,9.8407,4.761,5.8433,5.7619,1.4908,-11.1707,-21.6721,,,QC'd by Enamine
207,26671226,5720057,CC1=C[N+](=CC=C1)C2=C(SC(=N2)[O-])/C=N/NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0,11.4176,,,,,,,,,,0.5978,4.5612,3.8596,-0.5677,1.0435,5.4729,9.4977,8.0869,2.7468,10.0241,14.2019,11.4176,,,QC'd by null
208,49724835,16331419,CC(C(=O)N(C)CC1=CC(=CC=C1)F)N2CCN(CC2)CC3=CC(=C(C=C3)OC)OC.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 1 0 0,-4.1345,,,,,,,,,,1.3296,2.2697,4.6256,0.8098,3.4436,-3.2451,-2.0869,7.4527,-2.4861,2.5425,0.9608,-4.1345,,,QC'd by Enamine
209,4237628,3232741,CC1=CN=C(C=N1)CNC2=NC(=NC=C2)C3=COC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.5864,,,,,,,,,,,,-4.4812,-5.3456,-4.4102,-5.5497,-3.3556,-6.6124,-5.078,-3.3946,-4.9301,-1.7208,-2.4536,-2.5864,QC'd by Pharmacopeia
210,24783645,16188200,C1CC(OC1)CNC(=O)C2=CC=C(C=C2)OC3CCN(CC3)C(=O)C4CC4,Inactive,0,,,Inactive,,,,,,,,,,4,,2.9243,,,,,,,,,,8.6736,-2.8555,1.2827,9.2813,2.3797,0.3156,2.2479,1.9106,0.1388,2.2181,6.1336,2.9243,,,QC'd by ChemBridge
211,49731066,15995144,C1=COC(=C1)C2=CC(=NO2)C(=O)NC3=C(C=CC(=C3)Br)O,Inconclusive,21,,,Inhibitor,79.3772,40.6686,,Partial curve; partial efficacy,-4.1003,3.9295,0.91,-35.6686,5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-34.1402,,,,,,,,,,2.3929,4.1122,0.441,0.4789,4.9946,13.8567,6.5411,3.5,7.1331,0.9088,-11.5639,-34.1402,,,QC'd by Chem Div
212,49667027,1910997,CCN(CC)C1=NC(=NC(=N1)C2=CC=C(C=C2)C(=O)NN)C3=CC=C(C=C3)C(=O)NN,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.9759,,,,,,,,,,,,-4.435,-3.7585,-4.2274,0.2084,-3.0137,-1.92,-6.0856,-6.4759,-0.6686,-1.7287,-4.1901,-7.9759,QC'd by InterBioScreen
213,17414227,1132322,CCC(=O)NC1=CC=C(C=C1)C2=NC(=NC(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)NC(=O)CC,Inconclusive,27,,,Inhibitor,794.328,92.0392,,Partial curve; partial efficacy,-3.1,1.4641,0.9754,-100,-7.9608,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-33.2235,,,,,,,,,,,,-5.8007,-6.9798,-8.17,-8.0007,-6.839,-8.5056,-9.5636,-9.9083,-8.2156,-12.0734,-17.8518,-33.2235,QC'd by DPISMR
214,50112821,9282,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)[N+]3=NC(=NN3C4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CC=C5)OC)[N+]6=NC(=NN6C7=CC=C(C=C7)[N+](=O)[O-])C8=CC=CC=C8,Active,81,,,Inhibitor,56.1948,92.6245,,Complete curve; high efficacy,-4.2503,3.132,0.9856,-92.3605,0.2639,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-85.9968,,,,,,,,,,-4.1659,-0.9892,-1.4212,3.7031,-6.4625,0.4995,6.3638,3.0906,-3.368,-20.7736,-70.3223,-85.9968,,,QC'd by SigmaAldrich
215,17413039,2870810,C1C2CC3CC1CC(C2)(C3)N4C=C(C(=N4)C(=O)NC5=CC6=CC=CC=C6C=C5)Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-23.2195,,,,,,,,,,-0.958,0.1358,1.1649,9.5424,4.5014,1.0666,2.9637,3.2116,4.7886,1.8602,-13.6104,-23.2195,,,QC'd by DPISMR
216,24784170,54679256,CCOC(=O)CC1=CSC(=N1)NC(=O)C2=C(C3=CC=CC=C3N(C2=O)CCC(C)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-27.3728,,,,,,,,,,0.4875,0.3653,0.6672,3.0458,7.2559,3.4554,0.2028,-0.2414,-0.4058,-14.8619,-14.6577,-27.3728,,,QC'd by Asinex Ltd.
217,49675404,16315584,CC1=CC=CC=C1CN2CCN(CC2)C(C)C(=O)NCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,-4.3079,,,,,,,,,,-3.7798,1.5258,-1.6552,-0.6871,-1.3052,3.5427,7.029,2.4997,0.4856,9.6071,4.9478,-4.3079,,,QC'd by Enamine
218,17414262,1337412,CCOC1=C(C=C(C=C1)C2=NN(C=C2/C=C\3/C(=O)N=C(S3)N)C4=CC=CC=C4)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-18.8681,,,,,,,,,,,,-0.3236,-2.2975,-4.9481,-4.2648,-4.311,-5.602,-4.1748,-4.2371,-3.6518,-6.3333,-8.8005,-18.8681,QC'd by DPISMR
219,26726012,16745855,CCCNC(=O)C1=CC2=C(C=C1)C(=O)C(=C(N2)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.5995,,,,,,,,,,0.2593,9.7154,4.7969,3.2973,3.2193,0.5743,0.219,0.9306,3.0098,4.7326,5.3737,1.5995,,,QC'd by null
220,17515557,5199132,COC1=CC(=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=CS5)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-9.6099,,,,,,,,,,7.0069,4.5465,6.7058,10.7502,9.9389,5.4642,11.6048,7.8753,1.0982,-0.3014,-11.901,-9.6099,,,QC'd by Life Chemicals
221,17402430,326577,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CSN=N3,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0,-8.8552,,,,,,,,,,-8.3751,1.2888,-3.7877,2.8866,5.2848,5.3768,1.9101,-2.6576,-1.2429,-4.5556,-7.9984,-8.8552,,,QC'd by DPISMR
222,49731343,3659357,CCC1=CC=C(C=C1)CNC(=O)CCS(=O)(=O)CC2=CC=CC=C2F,Inactive,0,,,Inactive,,,,,,,,,,4,,3.6027,,,,,,,,,,-3.969,-5.8378,-1.9828,6.1881,1.3165,3.7789,-5.1312,-7.8333,1.4476,-4.92,3.6972,3.6027,,,QC'd by Chem Div
223,49675280,16301825,CC(C1=CC=CC=C1)NC(=O)C2=NC3=CC=CC=C3N=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.3778,,,,,,,,,,,,-10.1379,-5.9726,-5.0075,-6.7634,-7.3477,-4.1885,-6.1467,-8.1896,-8.4335,-8.7801,-5.5203,-5.3778,QC'd by Enamine
224,49647721,942131,CN1CCC2=C(C1)SC3=NC(=NC(=C23)N)SCC(OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1 0 1 0 0 0,5.1917,,,,,,,,,,1.1126,2.3778,0.0689,0.1236,1.5808,1.0287,3.982,1.5363,-0.0564,3.4901,4.6667,5.1917,,,QC'd by InterBioScreen
225,17403042,3679261,C1=CC(=C(C(=C1)Cl)CN2C=CC=C(C2=O)NC(=O)C3=C(C=CC=C3Cl)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.9007,,,,,,,,,,,,-0.2626,0.0143,-0.0911,-0.2705,-0.0724,1.1907,-0.6699,1.4508,-0.7028,-1.1948,-2.1252,-10.9007,QC'd by DPISMR
